符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:132,0.5;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
s,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:133,3600.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
cs,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:134,180.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sn,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:135,180.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:160,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
d,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:162,-1.0;1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
hp_res,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:182,180.0;3600.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
qr,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:183,4.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
cand,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:186,180.0;3600.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:198,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
dc,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:202,-1.0;1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
drop_r,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:204,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
d,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:206,-1.0;1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:210,2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:215,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
scale,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:227,0.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:228,180.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:229,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:233,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
signal_rel_err,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:245,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
coverage_rel_err,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:246,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sb_err,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:247,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
fp32_max_rel,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:250,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
total_in,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:251,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
total_covered_area_out,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:252,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
uniform_rel_std,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:253,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
output_min,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:254,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
signal_rel_err,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:286,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
signal_rel_err,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:296,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_v,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:302,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
scale,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:307,0.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:308,180.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:313,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:315,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sb_sum,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:327,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:338,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:344,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ct,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:349,0.0;1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sb_expected,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:353,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:357,0.05,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:367,0.0;1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
signal_rel_err,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:372,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
coverage_rel_err,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:373,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sb_err,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:374,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
var,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:381,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
B_const,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:401,1000.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:403,0.6;0.8;1000.0;300.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:406,-500.0;0.5;100.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sigma,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:411,0.2;0.20;180.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
d,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:414,-1.0;1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:416,1000.0;2.0;50000.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
w_c,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:420,-23.254083;272.886595;6.3,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
Vec3,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:437,1000.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
Vec3,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:438,0.0;1000.0;180.0;240.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:439,-10.0;272.886595;6.3,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
Vec3,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:440,-10.0;0.0;272.886595,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:441,272.886595;30.0;6.3,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
Vec3,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:442,-500.0;100.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
Vec3,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:443,-41.8;1000.0;273.7;6.3,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
Vec3,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:444,0.0;1000.0;6.3,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
