符号或键,类别,位置集合（全部侧，规范化全路径:行）,现行值,单位,坐标系或归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,是否已复核,冲突标记,来源成稿与条目,多侧默认值预筛（预筛已回：raw/D4-多侧默认值全表.csv）
λ 因子的成立前提,公式,,λ ∈ 被积式,nm,能量谱辐照度→光子计数率换算核（E=hc/λ）,严格（差与星无关常数，被 location 吸收）,仅当解码 F_λ 为能量谱辐照度；若容器给光子谱通量 ph·s⁻¹·m⁻²·nm⁻¹ 则必须去掉,文献值（A：Gaia DR3 官方 §5.4.1＋字段单位声明）＋第一性推导,AUD201-002（CONFIRMED，正本无需订正）；前提未显式登记 → AUD201-003,公式导出,XPSD 解码消费边界,是（第②层独立复核）,,AUD-201-测光核验 AUD201-002／AUD201-003；复核注记：是（复核-AUD201 V2 独立复算）,
σ_i² 逐像素噪声组成式,公式,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:200；lib/algorithms/noise_snr/cpp/src/snr_science.cpp:201；lib/algorithms/noise_snr/cpp/src/snr_science.cpp:202,"σ_i² = σ_sky,i² + (RN/g)² + F·P_i/g",ADU²,三项同为 ADU²（读噪只出现一次）,独立 MC 复算 σ_F 两点 ≤3σ（z=+0.35 / −1.75）,Σ_i P_i = 1 在截断网格上成立；half=12→60 时 ΣP² 第 5 位起不动 ⇒ 截断不构成误差源,文献值（A：Horne 1986 PASP 98 609；本仓 NOISE_MODEL.md:324 §9a）＋独立推导＋独立 MC,docs/science/NOISE_MODEL.md:324；docs/plugins/algorithms_phase1/07_noise_snr.md:110；snr_science.cpp:200-202/:198,公式导出,Phase1 逐源 SNR／Phase2 权重,是（第②层复核改判）,,AUD-202-SNR核验 AUD202-011（证真条目）；复核注记：是（第②层复核未推翻，成稿即独立复算）,
cosmetic.bad_column_master_wide_frac_max,常数,eng/packaging/config/defaults.json:825；run/LINDEF-CLOSE-01/REPORT.md:1；eng/packaging/config/defaults.json:829；lib/infrastructure/scheduler/src/module_adapters.cpp:2816-2818；eng/packaging/config/defaults.json,0.001,1（占帧宽）,母版路径『仅标记不修』列数的声明上界；超界整类丢弃并记账,未标注（守卫量，无精度要求）,注册 0<x<=1；无 schema 承载,需实验标定（实测反号配对事故标定）,source_ref=run/LINDEF-CLOSE-01/REPORT.md:1 ⇒ 同 sigma_master：**不在跟踪集**；defaults.json:829 与 :835 记录了标定现象（阈值微调下仅标记列数在 0 与 1419 间跳变；加守卫前真实母版标记 1192 列）——这些读数只在不可复核件里,实验标定,Phase1 母版路径宽列守卫,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 bad_column_master_wide_frac_max｜有值侧 1（S1 defaults）
cosmetic.bad_column_sigma_master,常数,eng/packaging/config/defaults.json:797；run/LINDEF-CLOSE-01/REPORT.md:1；lib/infrastructure/scheduler/src/module_adapters.cpp:2805；lib/infrastructure/scheduler/src/module_adapters.cpp:2735；eng/packaging/config/defaults.json:835,10.5,MAD 倍数,母版路径（暗/偏置母版）专用列状缺陷阈,未标注（只记标定判据：母版每路已修列数不超过同帧科学帧路径已修列数）,注册 >0，<=0 归一到科学帧阈（向后兼容）；无 schema 承载,需实验标定（标定证据不在跟踪集）,source_ref=run/LINDEF-CLOSE-01/REPORT.md:1 —— run/* 在 .gitignore:17 ⇒ **该文件不在跟踪集**（git ls-files 对 LINDEF 零命中），代码注释 module_adapters.cpp:2805 同引该路径与其 evidence/master_sigma_calibration.json，均不可复核；:2801-2804 给了标定理由（母版 |d-med| 的 p99/p50 ≈ 23 vs 高斯 2.6 ⇒ 同 5sigma 在母版上不是同一松紧度）,实验标定,Phase1 母版路径,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 bad_column_sigma_master｜有值侧 1（S1 defaults）
sigma_true,常数,eng/tests/unit/p1_stars_test.cpp:209,10.0,ADU（背景噪声真值）,合成图像逐像素（bg_true=1000.0 同域）,判据：σ 相对偏差 ≤2%（case1 实测 +0.27%）、纯噪声面 ≤2%（实测 −0.54%）,>0,B（本仓可复现实验，seed 固定 :215）,无文献锚，也无需——真值由夹具自设（10.0 是 chosen truth）；但**判据阈值 2%/6% 的登记在 :204-206 指向 run/CLEAN-401/third_sigma/**（run/ 不入库 ⇒ 证据不可复核）,实验标定,第三 σ 估计器（裁剪后 RMS = StarCatalog::noise_sigma）回归锁定,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
稀疏/稠密内存读数,常数,实验/additive-sky-seamless/README.md:211,"报告 11,688 kB / 14,568 kB；JSON rss_64block_kb=11744 / rss_full_grid_kb=14520",kB,按需 64² 块 vs 稠密物化 512²,差 −56 kB / +48 kB,E3 门判据是 blk < full 的比较式 ⇒ 用错值不等式仍成立 ⇒ 不翻转门,实验标定（正确值同单元 REPORT_paper.md:265 已给）,实验/additive-sky-seamless/README.md:211（§4.6 E3）；results/c6_sparse_dense.json:upm_memory；gates.rows[2] E3_rss_scales_with_block,实验标定,创新点③ 稀疏表示收益声明,是（第②层独立复核）,,复核-结果层与收口层 R4 第 3 处；复核注记：是（P2）,
(无名)·lib/infrastructure/cli/commands.cpp:560,常数,lib/infrastructure/cli/commands.cpp:560；lib/infrastructure/cli/astrocs_process.h:36,30.0,s,外部渲染器子进程的超时上限,不适用（运维参数）,>0,不适用（非科学量）；取值本身**无量纲依据**（既非公式亦非测量）,唯一说明是同函数上下文（渲染器调用，devnull_stdio=true）；无文档条款、无契约件登记【缺输入：判读层与第②层均未给保守取值方向】,待确认,CLI 外部命令调用,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,
(无名)·lib/infrastructure/cli/memory_growth.h:104,常数,lib/infrastructure/cli/memory_growth.h:104；eng/tests/cli/test_memory_growth.py:32,0.0;0.5,无量纲（阈值的半宽系数）,不适用（诊断分类内部系数）,缺,仅当 leak_slope_bytes_per_iter>0 时可达,无（0.5 与所在判据整体无出处；且该函数生产零调用）,无（其自称权威「07 §5」在跟踪集内无载体；见立案 L-05）【缺输入：判读层与第②层均未给保守取值方向】,待确认,无生产适用域（eng/tests/cli/test_memory_growth.py 唯一调用者）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；L-05,
(无名)·lib/infrastructure/cli/memory_growth.h:105,常数,lib/infrastructure/cli/memory_growth.h:105；eng/packaging/config/runtime_resources.json,0.3,峰谷振幅比（(max-min)/min），无量纲,retained 曲线剔除预热后,缺,同上（默认配置下不可达）,无,无（「07 §6」载体不在跟踪集）【缺输入：判读层与第②层均未给保守取值方向】,待确认,无生产适用域,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；L-05,
(无名)·lib/infrastructure/cli/memory_growth.h:55,常数,lib/infrastructure/cli/memory_growth.h:55；lib/infrastructure/cli/memory_report.h,0.0,字节/轮,theil_sen_slope 返回值,不适用（短路返回）,n<2,"无（语义上有意义：样本不足时返回 0 = ""无趋势""，与""确无趋势""不可分）",无【缺输入：判读层与第②层均未给保守取值方向】,待确认,无生产适用域,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；L-05,
(无名)·lib/infrastructure/cli/memory_report.h:338,常数,lib/infrastructure/cli/memory_report.h:338；lib/infrastructure/cli/memory_growth.h,0.0,字节/秒,slopes 空时短路,不适用,slopes.empty(),"无（与 :336 同因，返回 0 = 静默""无趋势""）",无（唯一数值源与文档均未规定斜率不可算时的取值）,待确认,alloc_report.json rss_slope_bytes_per_s,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；U-02,
(无名)·lib/infrastructure/cli/memory_report.h:617,常数,lib/infrastructure/cli/memory_report.h:617；docs/plugins/infrastructure/21_observability.md,0.005,相对（无量纲）,斜率复算容差,不适用,同上,半可导出：:610 声称依据是 %.3f 打印舍入（截断误差 ≤5e-4），0.005 = 10×该误差；但 10× 这个放大系数无登记,无（同上；契约与 21_observability.md §8 均不复述此复算容差）【缺输入：判读层与第②层均未给保守取值方向】,待确认,报告自校验（CHK 面与审计复算共用）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；L-08,
(无名)·lib/infrastructure/cli/resource_recorder.h:221,算法,lib/infrastructure/cli/resource_recorder.h:221,0.0,未标注,未标注,未标注,未标注,不适用（结构性常数）,—（空集守卫）【缺输入：判读层与第②层均未给保守取值方向】,待确认,v 为空,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3；L8,
(无名)·lib/infrastructure/cli/resource_recorder.h:225,算法,lib/infrastructure/cli/resource_recorder.h:225,0.5,未标注,未标注,未标注,未标注,C 二手（规格只写 mean/p50/p95/peak 之名）,无——最近秩变体 idx=round(q*(N-1)) 的定义在 21_observability §8.3 与契约均未登记【缺输入：判读层与第②层均未给保守取值方向】,待确认,样本数>=1,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3；N-1,
(无名)·lib/infrastructure/cli/runtime_client.cpp:118,常数,lib/infrastructure/cli/runtime_client.cpp:118；lib/infrastructure/scheduler/src/pipeline.cpp:89,.0;1.0,—,—,—,IR 标识,不适用（结构性常数）,—（Pipeline IR 版本标识串）【缺输入：判读层与第②层均未给保守取值方向】,待确认,"build_pipeline_ir 产出的 ir[""version""]",否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/session_commands.h:254,常数,lib/infrastructure/cli/session_commands.h:254,0.0,deg,ICRS,未规定,|dec|<=85（TAN 极区排除）,C 二手（示例占位）,phase_config_export.schema.json#/$defs/center 无 default 关键字【缺输入：判读层与第②层均未给保守取值方向】,待确认,export `--template` 的 center 块,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/session_commands.h:258,常数,lib/infrastructure/cli/session_commands.h:258,0.001,deg/px,输出像元角尺度,未规定,>0,C 二手（示例占位，无默认主张）,schema 只给 exclusiveMinimum 0（#/$defs/scale_deg_per_px:324-327），无 default；出厂模板 export.phase_config.json:11 同值 0.001 ⇒ 两侧一致，不构成多侧分歧【缺输入：判读层与第②层均未给保守取值方向】,待确认,export 模板,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
HP_ADAPTIVE_MAX_DEPTH,常数,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:543,8,层,真曲线边细分最大深度,不适用,从极冠边偏差 0.0809·hp_res 降到自身阈值 1e-6·hp_res 需 d > log(8.09e4)/log(4) = 8.15 层 ⇒ 极点邻边触底截断,无来源（截断后残差 1.234e-6·hp_res 超阈 23%，且每边 256 段 = 1024 顶点/像素）,spherical_overlap.cpp:543-617 注释与常量【缺输入：判读层与第②层均未给保守取值方向】,待确认,创新点④ 细分代价,是（第②层独立复核）,,AUD-204-面积交叠核验 AUD204-06 改法(i)；复核注记：是,
Pipeline IR 版本串,常数,lib/infrastructure/cli/runtime_client.cpp:118,"""1.0.0""",语义版本,runtime_client 与 scheduler 的 IR 版本协商,不适用,scheduler 只校非空，无合同约束点,无来源（版本面无登记点）,runtime_client.cpp:118；对照 VERSION:1=0.1.0-alpha.1 与 CMakeLists.txt:15 三侧一致（那是包版本，非 IR 版本）【缺输入：判读层与第②层均未给保守取值方向】,待确认,版本治理面,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3 §3,
calibration.dark_light_exposure_tolerance,容差,"eng/packaging/config/defaults.json:20；docs/science/CALIBRATION.md:19,21",5,s,暗场/亮场曝光一致性容差；文档侧只给 K=t_light/t_dark 语义,未标注（未给与母版 SNR 的关系）,注册：未标注（仅预检橘色提示级，不阻断）；schema/CLI 侧无承载,待确认（负责人裁决未落 SCI 条文）,"无（注册件 source 记『负责人裁决 2026-09-16』，source_ref=null；docs/science/CALIBRATION.md:19,21 只有 K 语义无数值，本仓实测该文档内无 5 s）",待确认,normalize 预检与暗场优化建议路径,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 dark_light_exposure_tolerance｜有值侧 1（S1 defaults）
denom,常数,lib/infrastructure/cli/memory_report.h:616,1.0,字节/秒（与 rs 同量纲的下界）,相对容差的分母下限,不适用,|slope|<1 B/s 时起作用,无（1.0 这个下限无任何依据说明，且它使注释宣称的「0.5% 相对容差」在该区间变成绝对容差 0.005 B/s）,":610 注释「0.5% 相对容差, %.3f 打印误差内」是唯一自述，非外部出处【保守方向·回填自判读件】量纲自洽性核过：分子 |rs-slope| 是 B/s、分母 max(1,|rs|) 若按 1 取值则比值不再是「相对」⇒ **名实不符但不是算错**（B/s 量级实际 ≫1 时二者重合）。本行的可交付信息：这个门在斜率接近 0 时**更严**（绝对 0.005 B/s）而非更松，故不产生假绿，只可能产生假红，方向上属可容忍",待确认,validate_alloc_report 的斜率复算门,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；L-08,
kMaxSpatialAmplitudeDex,容差,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:49；lib/algorithms/photometry/cpp/src/spatial_gain.cpp:521,1.0,dex（max|log10 m|）,空间增益幅度硬界,实测真值 pp 7%、真机 3 帧 ≈0.1 dex ⇒ 10× 裕度,超限 ⇒ FailKind::kHard 整帧 fail（错误码 PHOT_SPATIAL_GAIN_FIT_FAILED）,无来源（自述「约定值」，与 c=4.685、3× 抽样允差同类）,spatial_gain.cpp:49 定义、:521 判定、:494-497 自述；defaults.json 无该键；UNRESOLVED 台账零命中【缺输入：判读层与第②层均未给保守取值方向】,待确认,Phase1 低阶乘性空间增益,是（第②层独立复核）,,AUD-201-测光核验 AUD201-013；复核-测光默认阶数（影响面第 2 条）；复核注记：是（复核-测光默认阶数：该码全仓零登记）,
kPollIntervalMs,常数,lib/infrastructure/cli/process.cpp:26；docs/plugins/infrastructure/21_observability.md；eng/packaging/config/runtime_resources.json,10.0,毫秒,POSIX waitpid(WNOHANG) 轮询间隔,不适用,POSIX 分支 :196；Windows 分支不用（:29 起走 WaitForSingleObject 阻塞）,无（10 ms 既非定义值也无标定；亦无文档）,无：21_observability.md §5 与 runtime_resources.json 都无子进程轮询间隔键【保守方向·回填自判读件】单位自洽核验：命名 Ms、使用处 :196 `std::chrono::milliseconds(static_cast<long long>(kPollIntervalMs))` ✓ 无二次换算。两平台**语义不等价**已核：Windows 由 WaitForSingleObject 精确到期，POSIX 有最多 10 ms 的检出滞后 ⇒ 同一 --timeout 值在两平台的实际截止相差 ≤,待确认,外部子进程（如 Gaia/XPSD 客户端、打包工具）等待面,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2,
kZPsyn,常数,eng/tests/unit/p1snr/p1snr_fref_baseline_test.cpp:115；eng/tests/unit/p1001_real_nodes_test.cpp:4649,-14.269,星等（mag，零点）,逐帧零点 ZP_syn（Gaia XPSD 拟合同域）,缺,任意实数；本用例只用到其差值,无（注释称取自 L4 t2_m1_red 拟合，但**该拟合值不在跟踪集内**）,"注释 :112（""取自 L4 t2_m1_red 的 Gaia XPSD 拟合量级""）；同族 kK1=6.272203e-17/kK2=5.685037e-17（:113-114）同源，另见 eng/tests/unit/p1001_real_nodes_test.cpp:4649 以""旧断言：帧间 k 散度 0.107 mag（6.272203e-17 vs 5.685037e-17）""引用同一对数值【保守方向·回填自判读件】**按""抄观测值""追查后判定为低风险但须登记**：全仓 `git grep -F 14.269` 只有本行这一条真命中（另一条是无关 CSV 数字），即唯一数值源是**口头注释**而非落档件；`t2_m1_red` 只出现在 eng/tests/validation/release02/phot_verify/debug*.py 的帧名里，无 -14.269 结果件。缓解：本用例是自证恒等式——:",待确认,合成零点/恒等式回归 N2,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1；L4,
leak_slope_bytes_per_iter,算法,lib/infrastructure/cli/memory_growth.h:37；lib/infrastructure/cli/memory_report.h,0.0,字节/轮（bytes per iteration）,每轮 retained 增量,缺,>0 才启用泄漏与震荡判据,"无（默认 0.0 = 判据关死；单位虽标 bytes/轮但""轮""无定义）","无【保守方向·回填自判读件】默认 0.0 的后果可静态判定：:116-117 的 Leak 分支带 `&& cfg.leak_slope_bytes_per_iter > 0`，:104 的近零界同样短路 ⇒ 默认配置下 Leak/Oscillating 两个枚举值永不出现，只剩 OomPreWarning/Growing/Stable。这不是保守取值""而是**静默降级**（诊断类别少了两档而产物字段不声明）。分母""轮""由调",待确认,无生产适用域,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；L-05,
